id,name
yks.res_district_542,丰满区 
yks.res_district_543,永吉县 
yks.res_district_544,蛟河市 
yks.res_district_545,桦甸市 
yks.res_district_546,舒兰市 
yks.res_district_547,磐石市 
yks.res_district_548,铁西区 
yks.res_district_549,铁东区 
yks.res_district_550,梨树县 
yks.res_district_551,伊通满族自治县 
yks.res_district_552,公主岭市 
yks.res_district_553,双辽市 
yks.res_district_554,龙山区 
yks.res_district_555,西安区 
yks.res_district_556,东丰县 
yks.res_district_557,东辽县 
yks.res_district_558,东昌区 
yks.res_district_559,二道江区 
yks.res_district_560,通化县 
yks.res_district_561,辉南县 
yks.res_district_562,柳河县 
yks.res_district_563,梅河口市 
yks.res_district_564,集安市 
yks.res_district_565,八道江区 
yks.res_district_566,抚松县 
yks.res_district_567,靖宇县 
yks.res_district_568,长白朝鲜族自治县 
yks.res_district_569,江源县 
yks.res_district_570,临江市 
yks.res_district_571,宁江区 
yks.res_district_572,前郭尔罗斯蒙古族自治县 
yks.res_district_573,长岭县 
yks.res_district_574,乾安县 
yks.res_district_575,扶余县 
yks.res_district_576,洮北区 
yks.res_district_577,镇赉县 
yks.res_district_578,通榆县 
yks.res_district_579,洮南市 
yks.res_district_580,大安市 
yks.res_district_581,延吉市 
yks.res_district_582,图们市 
yks.res_district_583,敦化市 
yks.res_district_584,珲春市 
yks.res_district_585,龙井市 
yks.res_district_586,和龙市 
yks.res_district_587,汪清县 
yks.res_district_588,安图县 
yks.res_district_589,道里区 
yks.res_district_590,南岗区 
yks.res_district_591,道外区 
yks.res_district_592,香坊区 
yks.res_district_593,动力区 
yks.res_district_594,平房区 
yks.res_district_595,松北区 
yks.res_district_596,呼兰区 
yks.res_district_597,依兰县 
yks.res_district_598,方正县 
yks.res_district_599,宾县 
yks.res_district_600,巴彦县 
yks.res_district_601,木兰县 
yks.res_district_602,通河县 
yks.res_district_603,延寿县 
yks.res_district_604,阿城市 
yks.res_district_605,双城市 
yks.res_district_606,尚志市 
yks.res_district_607,五常市 
yks.res_district_608,龙沙区 
yks.res_district_609,建华区 
yks.res_district_610,铁锋区 
yks.res_district_611,昂昂溪区 
yks.res_district_612,富拉尔基区 
yks.res_district_613,碾子山区 
yks.res_district_614,梅里斯达斡尔族区 
yks.res_district_615,龙江县 
yks.res_district_616,依安县 
yks.res_district_617,泰来县 
yks.res_district_618,甘南县 
yks.res_district_619,富裕县 
yks.res_district_620,克山县 
yks.res_district_621,克东县 
yks.res_district_622,拜泉县 
